Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,VERSION,5,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,DATETIMESTAMP,6,NULL,YES,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORT,USER,7,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,ID,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,ID
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,RULEMAPREPORTID,2,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,BASE TABLE,Dart_MT,dbo,OSUSR_2BM_RULEMAPREPORTBINARY,BINARYCONTENT,3,NULL,YES,varbinary,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,BASE TABLE,Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,TENANT_ID,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,BASE TABLE,Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,ID,2,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,ID
Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,BASE TABLE,Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,ISCHECKEDIN,3,NULL,YES,bit,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,BASE TABLE,Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,USERID_CHECKEDIN,4,NULL,YES,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,BASE TABLE,Dart_MT,dbo,OSUSR_35A_AUDITGROUPINGS_CHECKINCHECKOUT,CHECKIN_FROM,5,NULL,YES,datetime,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,BASE TABLE,Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,TENANT_ID,1,NULL,NO,int,NULL,NULL,10,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,BASE TABLE,Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,ID,2,NULL,NO,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,ID
Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,BASE TABLE,Dart_MT,dbo,OSUSR_35A_CURRENTVALIDATIONSSELECTED,EVSCHEDULEITEMID,3,NULL,YES,bigint,NULL,NULL,19,10,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
